ATIVIDADES DE EXTENSÃO REGISTRADAS NA PRÓ-REITORIA DE EXTENSÃO UNIVERSITÁRIA (PROEXT) EM 2021 E HOMOLOGADAS PELO CONSELHO DE EXTENSÃO UNIVERSITÁRIA (COEXT) ,,,,,,,,,,,,
Registro,Título da Atividade,Coordenador da Atividade,Unidade UFTM,Modalidade,Área Temática Principal,Início,Término,Envio,Data do Registro,Edital,Órgão Financeiro ,Valores (R$)
23/2021,XIV SNHM,Mônica de Cássia Siqueira Martines,ICENE,Evento,Educação,08/03/2021,08/04/2021,22/02/2021,26/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
24/2021,(PARA ALÉM DO MERCADO DE TRABALHO): Projetos de Vida e Saúde de Adolescentes” - Ano II,Ailton de Souza Aragão,ICS,Programa,Educação,01/03/2021,01/12/2021,19/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
25/2021," Banco de sementes crioulas e tradicionais: resgatar, multiplicar e conservar",Aline de Oliveira Matoso,Campus Universitário de Iturama,Programa,Meio ambiente,01/03/2021,01/12/2021,18/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
26/2021,Grupo de Apoio à Gestação e Adolescência,Ana Cecília Oliveira Silva,Campus Universitário de Iturama,Projeto,Educação,01/03/2021,01/12/2021,10/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 3.600,00"
27/2021,Programa de Microbiologia para Prevenção de Doenças Infecciosas,Anderson Assunção Andrade,ICBN,Programa,Saúde,01/03/2021,01/12/2021,20/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 3.600,00"
28/2021,Liga Acadêmica de Sustentabilidade,Bruna Lopes Coêlho ,ICTE,Liga Acadêmica (Programa),Meio ambiente,01/03/2021,01/12/2021,20/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
29/2021,Tecnologia de controle de dados à favor da vida: aplicativo de gestão para o Pronto-Socorro do HC-UFTM,Carlo Jose Freire de Oliveira,HC - Hospital de Clínicas,Projeto,Saúde,01/03/2021,01/12/2021,20/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 3.600,00"
30/2021,Barbaridades Medievais: educação histórica e divulgação científica via Instagram,Cláudia Regina Bovo,IELACHS,Projeto,Educação,01/03/2021,01/12/2021,17/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 3.600,00"
31/2021,Intervenção precoce para lactentes de risco (11ª. Edição),Elaine Leonezi Guimarães,ICS,Projeto,Saúde,01/03/2021,01/12/2021,16/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 3.600,00"
32/2021,Produção de materiais didáticos virtuais de Física,Esdras Viggiano de Souza,ICENE,Projeto,Educação,01/03/2021,01/12/2021,20/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 3.600,00"
33/2021,"GRUPO DE ESTUDO, PESQUISA E EXTENSÃO EM AGRICULTURA TROPICAL - GEPEAT",Flávio Hiroshi Kaneko ,Campus Universitário de Iturama,Programa,Tecnologia e Produção,01/03/2021,01/12/2021,17/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
34/2021,"Construção do conhecimento, junto a produtores do pontal do triangulo mineiro, sobre perdas de solo por erosão hídrica em diferentes métodos de alinhamento de plantio de Arachis hypogaea",Helder Barbosa Paulino, Campus Universitário de Iturama,Projeto,Educação,01/03/2021,01/12/2021,20/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 3.600,00"
35/2021,Liga Acadêmica de Psicologia e Educação - LAPSE (2021),Helena de Ornellas Sivieri Pereira ,IELACHS,Liga Acadêmica (Programa),Educação,01/03/2021,01/12/2021,18/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
36/2021,"Arte, Cultura e Decolonialidade: Por uma Ecologia de Saberes",Heliana Castro Alves,ICS,Projeto,Cultura,01/03/2021,01/12/2021,19/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 3.600,00"
37/2021,DATALUTA - Banco de Dados da Luta pela Terra,Janaina Francisca de Souza Campos Vinha,IELACHS,Projeto,Direitos Humanos e Justiça,01/03/2021,01/12/2021,20/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 3.600,00"
38/2021,Telessaúde para atenção integral aos usuários com doenças crônicas da Atenção Básica em Saúde de Uberaba – MG,Juliana Martins Pinto,ICS,Programa,Saúde,01/03/2021,01/12/2021,20/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
39/2021,Programa Universidade Aberta a Terceira Idade,Lislei Jorge Patrizzi ,ICS,Programa,Saúde,01/03/2021,01/12/2021,20/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
40/2021,Promoção de estratégias voltadas à adesão ao tratamento de HIV/Aids para pacientes do Centro de Testagem e Aconselhamento de Uberaba,Luciana de Almeida Silva Teixeira,ICS,Projeto,Saúde,01/03/2021,01/12/2021,18/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 3.600,00"
41/2021,Oficinas de Parentalidade,Luciana Maria da Silva,ICS,Programa,Direitos Humanos e Justiça,01/03/2021,01/12/2021,20/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
42/2021,Desvelando o Potencial Cultural da Astronomia por meio de Atividades Extensionistas,Marcos Dionizio Moreira,ICENE,Programa,Cultura,01/03/2021,01/12/2021,17/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
